ISSN,ISSN2,title,peerreview
1748-0132,NA,Nano Today,Single blind
2352-507X,NA,Nano-Structures & Nano-Objects,Single blind
2452-0748,NA,NanoImpact,Single blind
2589-5540,NA,Nanotechnology and Precision Engineering,Single blind
2352-8540,NA,Natural Gas Industry B,Single blind
1476-5586,NA,Neoplasia,Single blind
8936-080,NA,Neural Networks,Single blind
1053-8119,1095-9572,NeuroImage,Single blind
0161-813X,NA,NeuroToxicology,Single blind
1974-580,NA,Neurobiology of Aging,Single blind
9699-961,1095-953X,Neurobiology of Disease,Single blind
1074-7427,1095-9564,Neurobiology of Learning and Memory,Single blind
2452-073X,NA,Neurobiology of Pain,Single blind
2352-2895,NA,Neurobiology of Stress,Single blind
1970-186,1970-186,Neurochemistry International,Single blind
2837-70,NA,Neurochirurgie,Single blind
9252-312,NA,Neurocomputing,Single blind
2838-43,1897-4260,Neurologia i Neurochirurgia Polska,Single blind
9608-966,NA,Neuromuscular Disorders,Single blind
1434-179,NA,Neuropeptides,Single blind
2839-08,NA,Neuropharmacology,Single blind
9877-053,NA,Neurophysiologie clinique,Single blind
2839-32,NA,Neuropsychologia,Single blind
3064-522,NA,Neuroscience,Single blind
1497-634,NA,Neuroscience & Biobehavioral Reviews,Single blind
3043-940,NA,Neuroscience Letters,Single blind
1680-102,NA,Neuroscience Research,Single blind
8920-362,NA,Neurotoxicology and Teratology,Single blind
1384-1076,NA,New Astronomy,Single blind
1387-6473,NA,New Astronomy Reviews,Single blind
1871-6784,NA,New Biotechnology,Single blind
1872-5805,NA,New Carbon Materials,Single blind
0732-118X,NA,New Ideas in Psychology,Single blind
2052-2975,NA,New Microbes and New Infections,Single blind
1089-8603,1089-8611,Nitric Oxide,Single blind
2468-0540,NA,Non-coding RNA Research,Single blind
0362-546X,NA,Nonlinear Analysis,Single blind
2954-93,NA,Nuclear Engineering and Design,Single blind
1738-5733,2234-358X,Nuclear Engineering and Technology,Single blind
2352-1791,NA,Nuclear Materials and Energy,Single blind
3759-474,NA,Nuclear Physics A,Single blind
5503-213,5503-213,Nuclear Physics B,Single blind
2405-6014,NA,Nuclear and Particle Physics Proceedings,Single blind
2606-917,NA,Nurse Education Today,Single blind
1471-5953,NA,Nurse Education in Practice,Single blind
1541-4612,NA,Nurse Leader,Single blind
2965-54,NA,Nursing Outlook,Single blind
8999-007,NA,Nutrition,Single blind
2715-317,NA,Nutrition Research,Single blind
2451-8476,NA,Obesity Medicine,Single blind
1871-403X,NA,Obesity Research & Clinical Practice,Single blind
2980-18,NA,Ocean Engineering,Single blind
1463-5003,NA,Ocean Modelling,Single blind
7832-34,2300-7370,Oceanologia,Single blind
3050-483,NA,Omega,Single blind
2542-5633,NA,Oncology Signaling,Single blind
2352-7714,NA,One Health,Single blind
2468-6964,NA,Online Social Networks and Media,Single blind
2352-9520,NA,OpenNano,Single blind
1676-377,NA,Operations Research Letters,Single blind
2214-7160,NA,Operations Research Perspectives,Single blind
2211-6923,NA,Operations Research for Health Care,Single blind
1522-2942,NA,Operative Techniques in Thoracic and Cardiovascular Surgery,Single blind
1616-420,NA,Ophthalmology,Single blind
2589-4196,NA,Ophthalmology Glaucoma,Single blind
2468-6530,NA,Ophthalmology Retina,Single blind
1068-5200,1095-9912,Optical Fiber Technology,Single blind
9253-467,NA,Optical Materials,Single blind
3039-92,NA,Optics & Laser Technology,Single blind
3040-18,NA,Optics Communications,Single blind
1438-166,NA,Optics and Lasers in Engineering,Single blind
3040-26,NA,Optik,Single blind
1230-3402,1896-3757,Opto-Electronics Review,Single blind
1368-8375,NA,Oral Oncology,Single blind
1348-8643,1881-4204,Oral Science International,Single blind
2214-5419,NA,Oral and Maxillofacial Surgery Cases,Single blind
3043-87,NA,Orbis,Single blind
1691-368,NA,Ore Geology Reviews,Single blind
1566-1199,NA,Organic Electronics,Single blind
1466-380,NA,Organic Geochemistry,Single blind
7495-978,1095-9920,Organizational Behavior and Human Decision Processes,Single blind
9026-16,NA,Organizational Dynamics,Single blind
1344-0241,NA,Orthodontic Waves,Single blind
2405-5255,NA,Osteoporosis and Sarcopenia,Single blind
2468-5488,NA,Otolaryngology Case Reports,Single blind
1934-1482,1934-1563,PM&R,Single blind
0927-538X,NA,Pacific-Basin Finance Journal,Single blind
1526-0550,1526-0550,Paediatric Respiratory Reviews,Single blind
1524-9042,NA,Pain Management Nursing,Single blind
1871-174X,NA,Palaeoworld,Single blind
2405-8521,NA,Papillomavirus Research,Single blind
1678-191,NA,Parallel Computing,Single blind
2405-6731,NA,Parasite Epidemiology and Control,Single blind
1383-5769,NA,Parasitology International,Single blind
1353-8020,NA,Parkinsonism & Related Disorders,Single blind
1674-2001,NA,Particuology,Single blind
3130-25,1465-3931,Pathology,Single blind
3440-338,NA,Pathology - Research and Practice,Single blind
9284-680,NA,Pathophysiology,Single blind
7383-991,NA,Patient Education and Counseling,Single blind
3132-03,NA,Pattern Recognition,Single blind
1678-655,NA,Pattern Recognition Letters,Single blind
9172-394,NA,Pediatric Dental Journal,Single blind
2468-1245,NA,Pediatric Hematology Oncology Journal,Single blind
8878-994,NA,Pediatric Neurology,Single blind
3140-56,NA,Pedobiologia,Single blind
1002-0160,NA,Pedosphere,Single blind
1969-781,NA,Peptides,Single blind
2211-2669,NA,Performance Enhancement & Health,Single blind
1665-316,NA,Performance Evaluation,Single blind
2405-6030,NA,Perioperative Care and Operating Room Management,Single blind
1918-869,NA,Personality and Individual Differences,Single blind
2186-4950,NA,Personalized Medicine Universe,Single blind
2468-1717,NA,Personalized Medicine in Psychiatry,Single blind
2530-0644,NA,Perspectives in Ecology and Conservation,Single blind
2213-0209,NA,Perspectives in Science,Single blind
4835-75,1095-9939,Pesticide Biochemistry and Physiology,Single blind
2405-6561,NA,Petroleum,Single blind
1876-3804,NA,Petroleum Exploration and Development,Single blind
2096-2495,NA,Petroleum Research,Single blind
2213-4344,NA,PharmaNutrition,Single blind
1734-1140,NA,Pharmacological Reports,Single blind
1043-6618,1096-1186,Pharmacological Research,Single blind
9130-57,NA,Pharmacology Biochemistry and Behavior,Single blind
2213-5979,NA,Photoacoustics,Single blind
1572-1000,NA,Photodiagnosis and Photodynamic Therapy,Single blind
1569-4410,NA,Photonics and Nanostructures - Fundamentals and Applications,Single blind
1120-1797,NA,Physica Medica,Single blind
1874-4907,NA,Physical Communication,Single blind
1466-853X,NA,Physical Therapy in Sport,Single blind
3759-601,NA,Physics Letters A,Single blind
3702-693,NA,Physics Letters B,Single blind
3701-573,NA,Physics Reports,Single blind
7919-46,NA,Physics and Chemistry of the Earth,Single blind
2352-4510,NA,Physics in Medicine,Single blind
1571-0645,NA,Physics of Life Reviews,Single blind
2212-6864,NA,Physics of the Dark Universe,Single blind
3192-01,3192-01,Physics of the Earth and Planetary Interiors,Single blind
8855-765,1096-1178,Physiological and Molecular Plant Pathology,Single blind
3193-84,NA,Physiology & Behavior,Single blind
1230-8323,2083-8204,Physiotherapy,Single blind
3194-22,NA,Phytochemistry,Single blind
1874-3900,NA,Phytochemistry Letters,Single blind
9447-113,NA,Phytomedicine,Single blind
2139-251,NA,Piel,Single blind
1434-004,NA,Placenta,Single blind
3206-33,NA,Planetary and Space Science,Single blind
2468-2659,NA,Plant Diversity,Single blind
2352-4073,NA,Plant Gene,Single blind
9819-428,NA,Plant Physiology and Biochemistry,Single blind
1689-452,NA,Plant Science,Single blind
0147-619X,1095-9890,Plasmid,Single blind
0304-422X,NA,Poetics,Single blind
1873-9652,NA,Polar Science,Single blind
9626-298,NA,Political Geography,Single blind
2775-387,2775-387,Polyhedron,Single blind
3238-61,NA,Polymer,Single blind
1413-910,NA,Polymer Degradation and Stability,Single blind
1429-418,NA,Polymer Testing,Single blind
9255-214,NA,Postharvest Biology and Technology,Single blind
3259-10,NA,Powder Technology,Single blind
2352-5517,NA,Practical Laboratory Medicine,Single blind
1879-8500,NA,Practical Radiation Oncology,Single blind
3019-268,NA,Precambrian Research,Single blind
1416-359,NA,Precision Engineering,Single blind
2210-7789,NA,Pregnancy Hypertension,Single blind
9174-35,1096-0260,Preventive Medicine,Single blind
2211-3355,NA,Preventive Medicine Reports,Single blind
1675-877,NA,Preventive Veterinary Medicine,Single blind
1751-9918,NA,Primary Care Diabetes,Single blind
2668-920,NA,Probabilistic Engineering Mechanics,Single blind
2212-8271,NA,Procedia CIRP,Single blind
1877-0509,NA,Procedia Computer Science,Single blind
2210-9838,NA,Procedia IUTAM,Single blind
2452-3216,NA,Procedia Structural Integrity,Single blind
3295-92,NA,Process Biochemistry,Single blind
9575-820,9575-820,Process Safety and Environmental Protection,Single blind
9608-974,NA,Progress in Crystal Growth and Characterization of Materials,Single blind
3601-285,NA,Progress in Energy and Combustion Science,Single blind
1637-827,NA,Progress in Lipid Research,Single blind
7964-25,NA,Progress in Materials Science,Single blind
1491-970,NA,Progress in Nuclear Energy,Single blind
7965-65,NA,Progress in Nuclear Magnetic Resonance Spectroscopy,Single blind
7966-11,NA,Progress in Oceanography,Single blind
3009-440,NA,Progress in Organic Coatings,Single blind
1466-410,NA,Progress in Particle and Nuclear Physics,Single blind
1058-9813,NA,Progress in Pediatric Cardiology,Single blind
7967-00,NA,Progress in Polymer Science,Single blind
7967-27,NA,Progress in Quantum Electronics,Single blind
1350-9462,NA,Progress in Retinal and Eye Research,Single blind
7967-86,NA,Progress in Solid State Chemistry,Single blind
7968-16,NA,Progress in Surface Science,Single blind
1098-8823,NA,Prostaglandins & Other Lipid Mediators,Single blind
2287-8882,2287-903X,Prostate International,Single blind
1046-5928,1096-0279,Protein Expression and Purification,Single blind
1434-4610,NA,Protist,Single blind
1651-781,NA,Psychiatry Research,Single blind
3064-530,NA,Psychoneuroendocrinology,Single blind
1469-0292,NA,Psychology of Sport and Exercise,Single blind
3331-82,NA,Psychosomatics,Single blind
3335-06,NA,Public Health,Single blind
3638-111,NA,Public Relations Review,Single blind
2531-0437,NA,Pulmonology,Single blind
1871-1014,NA,Quaternary Geochronology,Single blind
1040-6182,NA,Quaternary International,Single blind
2773-791,NA,Quaternary Science Reviews,Single blind
2531-0488,NA,RAUSP Management Journal,Single blind
2352-3093,NA,REACH,Single blind
1350-4487,NA,Radiation Measurements,Single blind
0969-806X,NA,Radiation Physics and Chemistry,Single blind
1078-8174,NA,Radiography,Single blind
1930-0433,1930-0433,Radiology Case Reports,Single blind
2352-6211,NA,Radiology of Infectious Diseases,Single blind
1550-7424,1551-5028,Rangeland Ecology & Management,Single blind
1900-528,1551-501X,Rangelands,Single blind
1875-5372,NA,Rare Metal Materials and Engineering,Single blind
1381-5148,NA,Reactive and Functional Polymers,Single blind
2213-2317,NA,Redox Biology,Single blind
2352-3204,NA,Regenerative Therapy,Single blind
1660-462,NA,Regional Science and Urban Economics,Single blind
2352-4855,NA,Regional Studies in Marine Science,Single blind
2732-300,1096-0295,Regulatory Toxicology and Pharmacology,Single blind
3436-17,NA,Reinforced Plastics,Single blind
9518-320,NA,Reliability Engineering & System Safety,Single blind
3442-57,NA,Remote Sensing of Environment,Single blind
9601-481,NA,Renewable Energy,Single blind
1472-6483,NA,Reproductive BioMedicine Online,Single blind
1642-431X,NA,Reproductive Biology,Single blind
2405-6618,NA,Reproductive Biomedicine & Society Online,Single blind
8906-238,NA,Reproductive Toxicology,Single blind
4873-33,NA,Research Policy,Single blind
1052-0457,NA,Research in Accounting Regulation,Single blind
1750-9467,NA,Research in Autism Spectrum Disorders,Single blind
8914-222,NA,Research in Developmental Disabilities,Single blind
1090-9443,1090-9451,Research in Economics,Single blind
2755-319,NA,Research in International Business and Finance,Single blind
2765-624,NA,Research in Social Stratification and Mobility,Single blind
1551-7411,NA,Research in Social and Administrative Pharmacy,Single blind
2210-5395,NA,Research in Transportation Business & Management,Single blind
7398-859,NA,Research in Transportation Economics,Single blind
3452-88,NA,Research in Veterinary Science,Single blind
9287-655,NA,Resource and Energy Economics,Single blind
3014-207,NA,Resources Policy,Single blind
2212-5345,NA,Respiratory Investigation,Single blind
9546-111,NA,Respiratory Medicine,Single blind
2213-0071,NA,Respiratory Medicine Case Reports,Single blind
1569-9048,NA,Respiratory Physiology & Neurobiology,Single blind
2211-3797,NA,Results in Physics,Single blind
1879-9337,NA,Review of Development Finance,Single blind
1094-2025,NA,Review of Economic Dynamics,Single blind
3466-67,NA,Review of Palaeobotany and Palynology,Single blind
2405-4283,NA,Reviews in Physics,Single blind
1888-7546,2172-5063,Revista Andaluza de Medicina del Deporte,Single blind
8556-26,8556-26,Revista Brasileira de Entomologia,Single blind
1981-528X,NA,Revista Brasileira de Farmacognosia,Single blind
1982-4378,NA,Revista Brasileira de Ortopedia,Single blind
2255-4971,NA,Revista Brasileira de Ortopedia (English Edition),Single blind
3537-87,NA,Revue Neurologique,Single blind
1878-6227,NA,Revue du Rhumatisme monographies,Single blind
2452-2198,NA,Rhizosphere,Single blind
9218-890,NA,Robotics and Autonomous Systems,Single blind
7365-845,NA,Robotics and Computer-Integrated Manufacturing,Single blind
1068-7971,NA,Russian Geology and Geophysics,Single blind
3043-479,NA,Russian Literature,Single blind
2352-8273,NA,SSM - Population Health,Single blind
9257-535,NA,Safety Science,Single blind
2093-7911,2093-7997,Safety and Health at Work,Single blind
1319-562X,NA,Saudi Journal of Biological Sciences,Single blind
1319-4534,NA,Saudi Journal of Ophthalmology,Single blind
1319-0164,NA,Saudi Pharmaceutical Journal,Single blind
9565-221,NA,Scandinavian Journal of Management,Single blind
1355-0306,NA,Science & Justice,Single blind
2095-9273,2095-9281,Science Bulletin,Single blind
2603-6363,NA,Science and Technology of Materials,Single blind
1676-423,NA,Science of Computer Programming,Single blind
3044-238,NA,Scientia Horticulturae,Single blind
1359-6462,NA,Scripta Materialia,Single blind
3707-38,NA,Sedimentary Geology,Single blind
4901-72,NA,Seminars in Arthritis and Rheumatism,Single blind
1084-9521,1096-3634,Seminars in Cell and Developmental Biology,Single blind
3719-63,NA,Seminars in Hematology,Single blind
1044-5323,1096-3618,Seminars in Immunology,Single blind
2709-295,NA,Seminars in Nephrology,Single blind
9377-54,NA,Seminars in Oncology,Single blind
7492-081,NA,Seminars in Oncology Nursing,Single blind
1043-0679,NA,Seminars in Thoracic and Cardiovascular Surgery,Single blind
8957-967,NA,Seminars in Vascular Surgery,Single blind
2214-1804,NA,Sensing and Bio-Sensing Research,Single blind
1383-5866,NA,Separation and Purification Technology,Single blind
1877-5756,NA,Sexual & Reproductive HealthCare,Single blind
2050-1161,NA,Sexual Medicine,Single blind
2050-0513,2050-0521,Sexual Medicine Reviews,Single blind
1651-684,NA,Signal Processing,Single blind
1569-190X,NA,Simulation Modelling Practice and Theory,Single blind
2352-7218,NA,Sleep Health,Single blind
1389-9457,NA,Sleep Medicine,Single blind
9214-488,NA,Small Ruminant Research,Single blind
2352-6483,NA,Smart Health,Single blind
3788-733,NA,Social Networks,Single blind
2779-536,NA,Social Science & Medicine,Single blind
0049-089X,1096-0317,Social Science Research,Single blind
3801-21,NA,Socio-Economic Planning Sciences,Single blind
2352-7110,NA,SoftwareX,Single blind
3807-17,NA,Soil Biology and Biochemistry,Single blind
2677-261,NA,Soil Dynamics and Earthquake Engineering,Single blind
3808-06,1881-1418,Soils and Foundations,Single blind
0038-092X,NA,Solar Energy,Single blind
2451-912X,NA,Solid Earth Sciences,Single blind
3810-98,NA,Solid State Communications,Single blind
2589-2088,NA,Solid State Electronics Letters,Single blind
1672-738,NA,Solid State Ionics,Single blind
9262-040,NA,Solid State Nuclear Magnetic Resonance,Single blind
1293-2558,NA,Solid State Sciences,Single blind
3811-01,NA,Solid-State Electronics,Single blind
2546-299,NA,South African Journal of Botany,Single blind
1026-9185,NA,South African Journal of Chemical Engineering,Single blind
2659-646,NA,Space Policy,Single blind
2445-4249,NA,Spanish Journal of Legal Medicine,Single blind
2211-6753,NA,Spatial Statistics,Single blind
1877-5845,NA,Spatial and Spatio-temporal Epidemiology,Single blind
1676-393,NA,Speech Communication,Single blind
1441-3523,NA,Sport Management Review,Single blind
1677-152,NA,Statistics & Probability Letters,Single blind
1873-5061,NA,Stem Cell Research,Single blind
0039-128X,NA,Steroids,Single blind
3044-149,NA,Stochastic Processes and their Applications,Single blind
0954-349X,NA,Structural Change and Economic Dynamics,Single blind
1674-730,NA,Structural Safety,Single blind
0191-491X,NA,Studies in Educational Evaluation,Single blind
3936-81,NA,Studies in History and Philosophy of Science Part A,Single blind
1660-616,1872-9797,Studies in Mycology,Single blind
7496-036,1096-3677,Superlattices and Microstructures,Single blind
3960-28,3960-28,Surface Science,Single blind
1675-729,NA,Surface Science Reports,Single blind
2578-972,2578-972,Surface and Coatings Technology,Single blind
2468-0230,NA,Surfaces and Interfaces,Single blind
3960-60,NA,Surgery,Single blind
3962-57,NA,Survey of Ophthalmology,Single blind
2352-5541,NA,Sustainable Chemistry and Pharmacy,Single blind
2210-6707,NA,Sustainable Cities and Society,Single blind
2213-1388,NA,Sustainable Energy Technologies and Assessments,Single blind
2468-2039,2468-2039,Sustainable Environment Research,Single blind
2214-9937,NA,Sustainable Materials and Technologies,Single blind
2352-5509,NA,Sustainable Production and Consumption,Single blind
2210-6502,NA,Swarm and Evolutionary Computation,Single blind
2213-7130,NA,Synergy,Single blind
3796-779,NA,Synthetic Metals,Single blind
2405-805X,NA,Synthetic and Systems Biotechnology,Single blind
0346-251X,NA,System,Single blind
7232-020,NA,Systematic and Applied Microbiology,Single blind
1676-911,NA,Systems & Control Letters,Single blind
3991-40,NA,Talanta,Single blind
1557-3087,NA,Teaching and Learning in Nursing,Single blind
0742-051X,NA,Teaching and Teacher Education,Single blind
2405-6324,NA,Technical Innovations & Patient Support in Radiation Oncology,Single blind
4016-25,NA,Technological Forecasting and Social Change,Single blind
0160-791X,NA,Technology in Society,Single blind
1664-972,NA,Technovation,Single blind
4019-51,NA,Tectonophysics,Single blind
3085-961,NA,Telecommunications Policy,Single blind
7365-853,NA,Telematics and Informatics,Single blind
4040-20,NA,Tetrahedron,Single blind
4040-39,4040-39,Tetrahedron Letters,Single blind
2962-9,NA,The American Journal of the Medical Sciences,Single blind
1974-556,NA,The Arts in Psychotherapy,Single blind
2092-5212,NA,The Asian Journal of Shipping and Logistics,Single blind
9609-776,NA,The Breast,Single blind
8908-389,1095-8347,The British Accounting Review,Single blind
2468-2330,NA,The Cell Surface,Single blind
2214-5141,NA,The Crop Journal,Single blind
1110-2608,NA,The Egyptian Heart Journal,Single blind
2090-7303,NA,The Egyptian Journal of Critical Care Medicine,Single blind
0378-603X,NA,The Egyptian Journal of Radiology and Nuclear Medicine,Single blind
1110-1164,NA,The Egyptian Rheumatologist,Single blind
1040-6190,NA,The Electricity Journal,Single blind
2136-163,2136-163,The European Journal of Psychiatry,Single blind
2214-790X,NA,The Extractive Industries and Society,Single blind
9582-592,NA,The Foot,Single blind
2070-63,2213-3933,The International Journal of Accounting,Single blind
1357-2725,NA,The International Journal of Biochemistry & Cell Biology,Single blind
1096-7516,NA,The Internet and Higher Education,Single blind
1555-4155,NA,The Journal for Nurse Practitioners,Single blind
9913-33,NA,The Journal of Academic Librarianship,Single blind
1703-4949,NA,The Journal of Economic Asymmetries,Single blind
2405-9188,NA,The Journal of Finance and Data Science,Single blind
1067-2516,NA,The Journal of Foot & Ankle Surgery,Single blind
3635-023,NA,The Journal of Hand Surgery,Single blind
1047-8310,NA,The Journal of High Technology Management Research,Single blind
9552-863,NA,The Journal of Nutritional Biochemistry,Single blind
0885-985X,NA,The Journal of Social Studies Research,Single blind
9600-760,NA,The Journal of Steroid Biochemistry and Molecular Biology,Single blind
9638-687,NA,The Journal of Strategic Information Systems,Single blind
8968-446,NA,The Journal of Supercritical Fluids,Single blind
2817-7,NA,The Journal of the American Dental Association,Single blind
2212-828X,NA,The Journal of the Economics of Ageing,Single blind
1607-551X,2410-8650,The Kaohsiung Journal of Medical Sciences,Single blind
9680-160,NA,The Knee,Single blind
1048-9843,NA,The Leadership Quarterly,Single blind
1062-9408,NA,The North American Journal of Economics and Finance,Single blind
1542-0124,NA,The Ocular Surface,Single blind
1080-7446,1525-318X,The Professional Animal Scientist,Single blind
1062-9769,NA,The Quarterly Review of Economics and Finance,Single blind
3623-319,NA,The Social Science Journal,Single blind
1529-9430,NA,The Spine Journal,Single blind
1479-666X,NA,The Surgeon,Single blind
1090-0233,NA,The Veterinary Journal,Single blind
3043-975,NA,Theoretical Computer Science,Single blind
4058-09,1096-0325,Theoretical Population Biology,Single blind
1678-442,NA,Theoretical and Applied Fracture Mechanics,Single blind
2095-0349,2095-0349,Theoretical and Applied Mechanics Letters,Single blind
0093-691X,NA,Theriogenology,Single blind
2451-9049,NA,Thermal Science and Engineering Progress,Single blind
4060-31,NA,Thermochimica Acta,Single blind
4060-90,4060-90,Thin Solid Films,Single blind
2638-231,NA,Thin-Walled Structures,Single blind
1871-1871,NA,Thinking Skills and Creativity,Single blind
4938-48,NA,Thrombosis Research,Single blind
1877-959X,NA,Ticks and Tick-borne Diseases,Single blind
4081-66,NA,Tissue and Cell,Single blind
1668-641,NA,Topology and its Applications,Single blind
2615-177,NA,Tourism Management,Single blind
2211-9736,NA,Tourism Management Perspectives,Single blind
0300-483X,NA,Toxicology,Single blind
3784-274,NA,Toxicology Letters,Single blind
0041-008X,1096-0333,Toxicology and Applied Pharmacology,Single blind
8872-333,NA,Toxicology in Vitro,Single blind
4101-01,4101-01,Toxicon,Single blind
8877-963,NA,Transfusion Medicine Reviews,Single blind
1473-0502,NA,Transfusion and Apheresis Science,Single blind
2468-5011,NA,Translational Medicine of Aging,Single blind
2588-9303,NA,Translational Metabolic Syndrome Research,Single blind
1936-5233,NA,Translational Oncology,Single blind
2214-854X,NA,Translational Research in Anatomy,Single blind
4113-45,4113-45,Transplantation Proceedings,Single blind
2451-9596,NA,Transplantation Reports,Single blind
0955-470X,NA,Transplantation Reviews,Single blind
0967-070X,NA,Transport Policy,Single blind
2214-3912,NA,Transportation Geotechnics,Single blind
2352-1465,NA,Transportation Research Procedia,Single blind
2214-367X,NA,Travel Behaviour and Society,Single blind
1477-8939,NA,Travel Medicine and Infectious Disease,Single blind
2210-8440,NA,Trends in Anaesthesia and Critical Care,Single blind
2214-1588,NA,Trends in Environmental Analytical Chemistry,Single blind
9242-244,NA,Trends in Food Science & Technology,Single blind
2211-9493,NA,Trends in Neuroscience and Education,Single blind
0301-679X,NA,Tribology International,Single blind
1472-9792,NA,Tuberculosis,Single blind
8867-798,NA,Tunnelling and Underground Space Technology,Single blind
1304-7361,NA,Turkish Journal of Emergency Medicine,Single blind
3043-991,NA,Ultramicroscopy,Single blind
0041-624X,NA,Ultrasonics,Single blind
1350-4177,NA,Ultrasonics Sonochemistry,Single blind
2467-9674,NA,Underground Space,Single blind
2212-0955,NA,Urban Climate,Single blind
1618-8667,NA,Urban Forestry & Urban Greening,Single blind
2214-4420,NA,Urology Case Reports,Single blind
9571-787,NA,Utilities Policy,Single blind
0264-410X,0264-410X,Vaccine,Single blind
1576-9887,NA,Vacunas,Single blind
0042-207X,NA,Vacuum,Single blind
1537-1891,NA,Vascular Pharmacology,Single blind
2214-2096,NA,Vehicular Communications,Single blind
1467-2987,1467-2995,Veterinary Anaesthesia and Analgesia,Single blind
1652-427,NA,Veterinary Immunology and Immunopathology,Single blind
3781-135,NA,Veterinary Microbiology,Single blind
3044-017,NA,Veterinary Parasitology,Single blind
2451-943X,NA,Veterinary and Animal Science,Single blind
9242-031,NA,Vibrational Spectroscopy,Single blind
4268-22,1096-0341,Virology,Single blind
1681-702,NA,Virus Research,Single blind
4269-89,4269-89,Vision Research,Single blind
2468-502X,NA,Visual Informatics,Single blind
2405-4690,NA,Visual Journal of Emergency Medicine,Single blind
0956-053X,NA,Waste Management,Single blind
4313-54,NA,Water Research,Single blind
2212-4284,NA,Water Resources and Economics,Single blind
2212-3717,NA,Water Resources and Industry,Single blind
1110-4929,1110-4929,Water Science,Single blind
1674-2370,NA,Water Science and Engineering,Single blind
2468-3124,NA,Water Security,Single blind
2588-9125,NA,Water-Energy Nexus,Single blind
2589-4714,NA,Watershed Ecology and the Environment,Single blind
1652-125,NA,Wave Motion,Single blind
4316-48,NA,Wear,Single blind
2212-0947,NA,Weather and Climate Extremes,Single blind
2212-9774,NA,Wine Economics and Policy,Single blind
1871-5192,NA,Women and Birth,Single blind
0305-750X,NA,World Development,Single blind
2452-2929,NA,World Development Perspectives,Single blind
2095-8811,NA,World Journal of Otorhinolaryngology - Head and Neck Surgery,Single blind
1878-8750,NA,World Neurosurgery,Single blind
1722-190,NA,World Patent Information,Single blind
2213-9095,NA,Wound Medicine,Single blind
4452-31,NA,Zoologischer Anzeiger,Single blind
9442-006,NA,Zoology,Single blind
2625-3410,NA,Clinical Psychology in Europe,Single blind
2534-9260,NA,Rethinking Ecology,Double blind
1896-1800,2569-653X,Social Psychological Bulletin,Double blind
9246-304,2543-1684,Maandblad voor Accountancy en Bedrijfseconomie,Double blind
1314-2836,1314-2828,Biodiversity Data Journal,Single blind
1727-9232,1810-3057,Corporate Ownership and Control,Double blind
1465-6906,1465-6906,Genome Biology,Transparent
1435-1935,1860-0743,Zoosystematics and Evolution,Single blind
1200-73,NA,Deutsche Entomologische Zeitschrift,Single blind
1070-9428,1314-2607,Journal of Hymenoptera Research,Single blind
1993-0771,1993-078X,Comparative Cytogenetics,Single blind
1768-1448,1314-2615,Subterranean Biology,Single blind
3427-536,2367-5365,Nota Lepidopterologica,Single blind
2367-8194,NA,One Ecosystem,Single blind
1681-5556,2305-2562,African Invertebrates,Single blind
2531-4033,NA,Italian Botanist,Single blind
2050-2966,NA,BioDiscovery,Single blind
2535-0889,NA,Alpine Entomology,Single blind
1809-127X,NA,Check List,Single blind
2535-0730,NA,Evolutionary Systematics,Single blind
1082-6467,1937-2426,Journal of Orthoptera Research,Single blind
2534-9708,NA,Metabarcoding and Metagenomics,Single blind
2535-0897,NA,Biodiversity Information Science and Standards,Single blind
2405-4739,2405-4739,Russian Journal of Economics,Single blind
2815-3197,NA,Food and Ecological Systems Modelling Journal,Single blind
2588-0535,NA,Research Results in Pharmacology,Single blind
2452-3038,2452-3038,Nuclear Energy and Technology,Single blind
2452-1779,2452-1779,Modern Electronic Materials,Single blind
2541-8416,2658-7173,Arctic Environmental Research,Single blind
1809-9939,1809-9939,Neotropical Biology and Conservation,Single blind
2658-3798,NA,Population and Economics,Single blind
2625-3410,NA,Clinical Psychology in Europe,Single blind
2534-9260,NA,Rethinking Ecology,Double blind
1896-1800,2569-653X,Social Psychological Bulletin,Double blind
9246-304,2543-1684,Maandblad voor Accountancy en Bedrijfseconomie,Double blind
1314-2836,1314-2828,Biodiversity Data Journal,Single blind
1313-2970,1313-2989,ZooKeys,Single blind
1314-2003,1314-2011,PhytoKeys,Single blind
1314-4049,1314-4057,MycoKeys,Single blind
1314-3301,1314-6947,Nature Conservation,Single blind
1314-2488,1619-0033,Neobiota,Single blind
1435-1935,1860-0743,Zoosystematics and Evolution,Single blind
1200-73,NA,Deutsche Entomologische Zeitschrift,Single blind
1070-9428,1314-2607,Journal of Hymenoptera Research,Single blind
1993-0771,1993-078X,Comparative Cytogenetics,Single blind
1768-1448,1314-2615,Subterranean Biology,Single blind
3427-536,2367-5365,Nota Lepidopterologica,Single blind
2367-8194,NA,One Ecosystem,Single blind
1681-5556,2305-2562,African Invertebrates,Single blind
2531-4033,NA,Italian Botanist,Single blind
2050-2966,NA,BioDiscovery,Single blind
1313-2652,1313-2644,BioRisk,Single blind
1984-4689,NA,Zoologia,Single blind
2535-0889,NA,Alpine Entomology,Single blind
1809-127X,NA,Check List,Single blind
2535-0730,NA,Evolutionary Systematics,Single blind
1082-6467,1937-2426,Journal of Orthoptera Research,Single blind
2534-9708,NA,Metabarcoding and Metagenomics,Single blind
2535-0897,NA,Biodiversity Information Science and Standards,Single blind
