"","ISSN","ISSN2","title","peerreview"
"X.590","3190-07","1079-7114","Physical Review Letters","Unsure/not specified"
"X.591","2041-4889",NA,"Cell Death and Disease","Single blind but double blind optional"
"X.593","1350-9047","1350-9047","Cell Death and Differentiation","Single blind"
"X.595","9286-74",NA,"Cell","Single blind"
"X.598","1748-3387","1748-3395","Nature Nanotechnology","Single blind but double-blind offered"
"X.599","1755-4330","1755-4349","Nature Chemistry","Single blind but double blind optional"
"X.600","1476-1122","1476-4660","Nature Materials","Single blind but double blind optional"
"X.758","9927-689","1432-0576","Annales Geophysicae","Referees can choose to stay anonymous"
"X.760","1867-8548",NA,"Atmospheric Measurement Techniques","Referees can choose to stay anonymous"
"X.761","1726-4189",NA,"Biogeosciences","Referees can choose to stay anonymous"
"X.762","1814-9332",NA,"Climate of the Past","Referees can choose to stay anonymous"
"X.763","1996-9465",NA,"Drinking Water Engineering and Science","Referees can choose to stay anonymous"
"X.764","2196-632X",NA,"Earth Surface Dynamics","Referees can choose to stay anonymous"
"X.765","2190-4987",NA,"Earth System Dynamics","Referees can choose to stay anonymous"
"X.766","1866-3516",NA,"Earth System Science Data","Referees can choose to stay anonymous"
"X.768","2569-7110",NA,"Geoscience Communication","Referees can choose to stay anonymous"
"X.769","1991-9603",NA,"Geoscientific Model Development","Referees can choose to stay anonymous"
"X.770","1607-7938",NA,"Hydrology and Earth System Sciences","Referees can choose to stay anonymous"
"X.772","1607-7946",NA,"Nonlinear Processes in Geophysics","Referees can choose to stay anonymous"
"X.773","1812-0792",NA,"Ocean Science","Referees can choose to stay anonymous"
"X.774","2199-398X",NA,"SOIL","Referees can choose to stay anonymous"
"X.775","1869-9510","1869-9529","Solid Earth","Referees can choose to stay anonymous"
"X.776","1994-0424",NA,"The Cryosphere","Referees can choose to stay anonymous"
"X.777","2366-7451",NA,"Wind Energy Science","Referees can choose to stay anonymous"
"X.778","2163-3967","2163-3975","Advances in Geosciences","Single blind"
"X.779","1684-9973",NA,"Advances in Radio Science","Single blind"
"X.780","1992-0636",NA,"Advances in Science and Research","Single blind"
"X.782","2363-9822",NA,"Archives Animal Breeding","Single blind"
"X.783","2199-3963",NA,"ASTRA Proceedings","Single blind"
"X.785","2625-8137",NA,"DEUQUA Special Publications","Single blind"
"X.786","2199-9090",NA,"E&G Quaternary Science Journal","Single blind"
"X.787","1435-1943","1860-1014","Fossil Record","Single blind"
"X.788","2194-8798",NA,"Geographica Helvetica","Double blind"
"X.790","2190-5029",NA,"History of Geo- and Space Sciences","Single blind"
"X.792","0262-821X","2041-4978","Journal of Micropalaeontology","Single blind"
"X.794","2194-878X",NA,"Journal of Sensors and Sensor Systems","Single blind"
"X.795","2191-916X",NA,"Mechanical Sciences","Single blind"
"X.796","2363-4715",NA,"Primate Biology","Single blind"
"X.797","2199-899X",NA,"Proceedings of the International Association of Hydrological Sciences","Single blind"
"X.798","1816-3459",NA,"Scientific Drilling","Single blind"
"X.799","1868-4564",NA,"Stephan Mueller Special Publication Series","Single blind"
"X.800","1399-1183",NA,"Web Ecology","Single blind"
"X.801","1040-2446",NA,"Academic Medicine","Single blind"
"X.802","1944-8244","1944-8252","ACS Applied Materials & Interfaces","Single Blind"
"X.803","1484-2","1520-4898","Accounts of Chemical Research","Single Blind"
"X.804","2155-5435","2155-5435","ACS Catalysis","Single blind"
"X.805","1427-3","1948-0989","Academy of Management Journal","Double blind"
"X.806","1936-0851","1936-086X","ACS Nano","Single blind"
"X.807","1614-6832","1614-6840","Advanced Energy Materials","Unsure"
"X.808","1616-301X","1616-3028","Advanced Functional Materials","Unsure"
"X.809","9359-648","1521-4095","Advanced Materials","Unsure"
"X.810","2828-2","1944-7981","American Economic Review","Double blind"
"X.811","9258-53","1540-5907","American Journal of Political Science","Double blind"
"X.812","9000-36","1541-0048","American Journal of Public Health","Double blind"
"X.813","3055-4","1537-5943","American Political Science Review","Double blind"
"X.814","3122-4","1939-8271","American Sociological Review","Double blind"
"X.815","1433-7851","1521-3773","Angewandte Chemie International Edition","Single blind"
"X.816","3481-9",NA,"Annals of Internal Medicine","Single blind"
"X.817","9237-534","1569-8041","Annals of Oncology","Unsure"
"X.818","3496-7","1468-2060","Annals of the Rheumatic Diseases","Single blind"
"X.819","1607-383",NA,"Annals of Tourism Research","Double blind"
"X.820","3062-619",NA,"Applied Energy","Single blind"
"X.821","1426-001","1477-450X","Applied Linguistics","Double blind"
"X.822","3695-1","3695-1","Applied Physics Letters","Unsure"
"X.824","1429-612",NA,"Biomaterials","Single blind"
"X.825","6497-1","1528-0020","Blood","Single blind"
"X.826","9598-138","1756-1833","BMJ","Not blinded"
"X.827","1535-6108",NA,"Cancer Cell","Single blind"
"X.828","8547-2","1538-7445","Cancer Research","Unsure"
"X.829","9286-74",NA,"Cell","Single blind"
"X.830","1550-4131",NA,"Cell Metabolism","Single blind"
"X.831","1934-5909",NA,"Cell Stem Cell","Single blind"
"X.833","9266-5","1520-6890","Chemical Reviews","Unsure"
"X.834","3060-012","1460-4744","Chemical Society Reviews","Unsure"
"X.835","8974-756","1520-5002","Chemistry of Materials","Unsure"
"X.836","9732-2","1524-4539","Circulation","Unsure"
"X.837","9733-0","1524-4571","Circulation Research","Single blind"
"X.838","1078-0432","1557-3265","Clinical Cancer Research","Unsure"
"X.839","3601-315",NA,"Computers & Education","Double blind"
"X.840","1495-992","1495-992","Diabetes Care","Single blind"
"X.841","2167-0811","2167-082X","Digital Journalism","Double blind"
"X.842","1296-82","1468-0262","Econometrica","Unsure"
"X.844","0013-936X","1520-5851","Environmental Science & Technology","Unsure"
"X.845","0195-668X","1522-9645","European Heart Journal","Unsure"
"X.846","3022-838","1421-993X","European Urology","Single blind"
"X.847","1650-85",NA,"Gastroenterology","Single blind"
"X.848","8912-432","1552-3977","Gender & Society","Double blind"
"X.849","1944-8007","9482-76","Geophysical Research Letters","Unsure"
"X.850","9593-780",NA,"Global Environmental Change","Double blind"
"X.851","0740-624X",NA,"Government Information Quarterly","Other"
"X.852","1757-49","1468-3288","Gut","Single Blind"
"X.853","2782-715","1544-5208","Health Affairs","Double blind"
"X.854","2709-139","1527-3350","Hepatology","Unsure"
"X.855","1636-804","1558-1896","IEEE Communications Magazine","Unsure"
"X.856","1553-877X","1553-877X","IEEE Communications Surveys & Tutorials","Unsure"
"X.859","1892-86","1558-2523","IEEE Transactions on Automatic Control","Unsure"
"X.860","2780-046","1557-9948","IEEE Transactions on Industrial Electronics","Unsure"
"X.861","1628-828","2160-9292","IEEE Transactions on Pattern Analysis and Machine Intelligence","Unsure"
"X.862","8858-993","1941-0107","IEEE Transactions on Power Electronics","Single blind"
"X.863","1053-587X","1941-0476","IEEE Transactions on Signal Processing","Single blind"
"X.864","1074-7613",NA,"Immunity","Single blind"
"X.866","9255-273",NA,"International Journal of Production Economics","Double blind"
"X.867","2995-5",NA,"Journal of the American Medical Association","Single blind"
"X.868","9167-49",NA,"Journal of Allergy and Clinical Immunology","Unsure"
"X.869","3784-266",NA,"Journal of Banking & Finance","Double blind"
"X.870","1674-544","1573-0697","Journal of Business Ethics","Double blind"
"X.871","1482-963",NA,"Journal of Business Research","Double blind"
"X.872","9596-526",NA,"Journal of Cleaner Production","Single blind"
"X.873","0732-183X","1527-7755","Journal of Clinical Oncology","Single blind"
"X.874","0976-691X","2456-6586","Journal of Communication","Unsure"
"X.875","1475-7508","1475-7516","Journal of Cosmology and Astroparticle Physics","Single blind"
"X.876","8953-309",NA,"Journal of Economic Perspectives","Unsure"
"X.877","2206-63","1939-2176","Journal of Educational Psychology","Double blind"
"X.878","0304-405X",NA,"Journal of Financial Economics","Unsure"
"X.880","1688-278","1688-278","Journal of Hepatology","Unsure"
"X.881","1126-6708","1029-8479","Journal of High Energy Physics","Single blind"
"X.882","1492-063","1557-1211","Journal of Management","Double blind"
"X.884","3782-166",NA,"Journal of Pragmatics","Double blind"
"X.885","2786-3","1520-5126","Journal of the American Chemical Society","Single blind"
"X.886","7351-097",NA,"Journal of the American College of Cardiology","Single blind"
"X.887","4728-91","1573-6601","Journal of Youth and Adolescence","Double blind"
"X.888","1464-8849",NA,"Journalism","Double blind"
"X.889","1751-2786","1751-2794","Journalism Practice","Double blind"
"X.890","1461-670X","1469-9699","Journalism Studies","Double blind"
"X.891","2648-377",NA,"Land Use Policy","Double blind"
"X.892","2383-33","1467-9922","Language Learning","Other"
"X.893","2438-41",NA,"Lingua","Double blind"
"X.895","2519-09","1526-5501","Management Science","Double blind"
"X.897","1097-2765",NA,"Molecular Cell","Unsure"
"X.898","3587-11","1365-8711","Monthly Notices of the Royal Astronomical Society","Single blind"
"X.899","1530-6984","1530-6992","Nano Letters","Unsure"
"X.900","2040-3364","2040-3372","Nanoscale","Unsure"
"X.901","2808-36","1476-4687","Nature","Other"
"X.902","1087-0156","1546-1696","Nature Biotechnology","Other"
"X.903","1465-7392","1476-4679","Nature Cell Biology","Other"
"X.904","1755-4330","1755-4349","Nature Chemistry","Other"
"X.905","1758-678X","1758-6798","Nature Climate Change","Other"
"X.906","2041-1723",NA,"Nature Communications","Other"
"X.907","1061-4036","1546-1718","Nature Genetics","Other"
"X.908","1529-2908","1529-2916","Nature Immunology","Other"
"X.909","1476-1122","1476-4660","Nature Materials","Other"
"X.910","1078-8956","1744-7933","Nature Medicine","Other"
"X.911","1548-7091","1548-7105","Nature Methods","Other"
"X.912","1748-3387","1748-3395","Nature Nanotechnology","Other"
"X.913","1097-6256","1546-1726","Nature Neuroscience","Other"
"X.914","1749-4885","1749-4893","Nature Photonics","Other"
"X.915","1745-2473","1745-2481","Nature Physics","Other"
"X.916","1474-1768","1474-1768","Nature Reviews Cancer","Unsure"
"X.917","1471-0056","1471-0064","Nature Reviews Genetics","Unsure"
"X.918","1474-1741","1474-1741","Nature Reviews Immunology","Unsure"
"X.919","1471-0048","1471-0048","Nature Reviews Neuroscience","Unsure"
"X.923","1053-8119","1095-9572","NeuroImage","Single blind"
"X.924","8966-273",NA,"Neuron","Single blind"
"X.927","3051-048","1362-4962","Nucleic Acids Research","Unsure"
"X.928","2978-28",NA,"Obstetrical & Gynecological Survey","Unsure"
"X.929","1094-4087",NA,"Optics Express","Single blind"
"X.930","3140-05","1098-4275","Pediatrics","Unsure"
"X.931","5540-739",NA,"Philosophical Studies","Double blind"
"X.932","1098-0121","1550-235X","Physical Review B","Single blind"
"X.933","1550-7998","1089-4918","Physical Review D","Single blind"
"X.934","3190-07","1079-7114","Physical Review Letters","Single blind"
"X.935","2160-3308",NA,"Physical Review X","Single blind"
"X.936","3702-693",NA,"Physics Letters B","Single blind"
"X.937","1932-6203",NA,"PLOS ONE","Single blind"
"X.938","2784-24","1091-6490","Proceedings of the National Academy of Sciences","Single blind"
"X.939","3091-325","1477-0288","Progress in Human Geography","Double blind"
"X.940","0033-362X","1537-5331","Public Opinion Quarterly","Double blind"
"X.941","3434-04","1360-0591","Regional Studies","Double blind"
"X.942","1364-0321",NA,"Renewable and Sustainable Energy Reviews","Single blind"
"X.943","4873-33",NA,"Research Policy","Double blind"
"X.944","3465-35","1530-9142","Review of Economics and Statistics","Unsure"
"X.945","3468-61","1539-0756","Reviews of Modern Physics","Single blind"
"X.946","3680-75","1095-9203","Science","Unsure"
"X.947","1946-6234","1946-6242","Science Translational Medicine","Unsure"
"X.948","2045-2322",NA,"Scientific Reports","Single blind"
"X.949","2779-536",NA,"Social Science & Medicine","Double blind"
"X.950","1432-095","1097-0266","Strategic Management Journal","Unsure"
"X.951","3978-57","1573-0964","Synthese","Double blind"
"X.952","0346-251X",NA,"System","Double blind"
"X.953","0742-051X",NA,"Teaching and Teacher Education","Double blind"
"X.954","3983-22","1545-7249","TESOL Quarterly","Unsure"
"X.955","2041-8205","2041-8213","The Astrophysical Journal","Unsure"
"X.956","9443-9","1468-2648","The China Quarterly","Double blind"
"X.958","1434-6044","1434-6052","The European Physical Journal C","Single blind"
"X.960","2210-82","1540-6261","The Journal of Finance","Unsure"
"X.961","1948-7185","1948-7185","The Journal of Physical Chemistry Letters","Single blind"
"X.962","1406-736","1474-547X","The Lancet","Unsure"
"X.963","1474-4422",NA,"The Lancet Neurology","Unsure"
"X.964","1470-2045",NA,"The Lancet Oncology","Unsure"
"X.967","3355-33","1531-4650","The Quarterly Journal of Economics","Unsure"
"X.968","3465-27","1467-937X","The Review of Economic Studies","Unsure"
"X.970","2615-177",NA,"Tourism Management","Double blind"
"X.971","0305-750X",NA,"World Development","Double blind"
"X.972","1085-3375","1687-0409","Abstract and Applied Analysis","Single blind"
"X.973","8827-516","1563-5031","Active and Passive Electronic Components","Single blind"
"X.974","1687-6261","1687-627X","Advances in Acoustics and Vibration","Single blind"
"X.975","2356-654X","2314-7539","Advances in Agriculture","Single blind"
"X.976","1687-7969","1687-7977","Advances in Astronomy","Single blind"
"X.977","1687-8027","1687-8035","Advances in Bioinformatics","Single blind"
"X.978","1687-8086","1687-8094","Advances in Civil Engineering","Single blind"
"X.979","1687-8108","1687-8124","Advances in Condensed Matter Physics","Single blind"
"X.980","1687-7101","1687-711X","Advances in Fuzzy Systems","Single blind"
"X.981","1687-9104","1687-9112","Advances in Hematology","Single blind"
"X.982","1687-7357","1687-7365","Advances in High Energy Physics","Single blind"
"X.983","1687-5893","1687-5907","Advances in Human-Computer Interaction","Single blind"
"X.984","2578-7217",NA,"Advances in Materials Science and Engineering","Single blind"
"X.985","1687-9120","1687-9139","Advances in Mathematical Physics","Single blind"
"X.986","2356-6752","2314-758X","Advances in Medicine","Single blind"
"X.987","1687-9309","1687-9317","Advances in Meteorology","Single blind"
"X.988","1687-5680","1687-5699","Advances in Multimedia","Single blind"
"X.989","1687-9147","1687-9155","Advances in Operations Research","Single blind"
"X.990","1687-563X","1687-5648","Advances in OptoElectronics","Single blind"
"X.991","2090-3464","2090-3472","Advances in Orthopedics","Single blind"
"X.992","1687-6334","1687-6342","Advances in Pharmacological Sciences","Single blind"
"X.993","7306-679","1098-2329","Advances in Polymer Technology","Single blind"
"X.994","2090-3480","2090-3499","Advances in Preventive Medicine","Single blind"
"X.995","2356-6868","2314-7784","Advances in Public Health","Single blind"
"X.996","1687-5915","1687-5923","Advances in Tribology","Single blind"
"X.997","1687-6369","1687-6377","Advances in Urology","Single blind"
"X.998","1687-8639","1687-8647","Advances in Virology","Single blind"
"X.999","2090-1240","2090-1259","AIDS Research and Treatment","Single blind"
"X.1000","2210-7177","2210-7185","Analytical Cellular Pathology","Single blind"
"X.1001","2090-1267","2090-1275","Anemia","Single blind"
"X.1002","1687-6962","1687-6970","Anesthesiology Research and Practice","Single blind"
"X.1003","1687-7667","1687-7675","Applied and Environmental Soil Science","Single blind"
"X.1004","1176-2322","1754-2103","Applied Bionics and Biomechanics","Single blind"
"X.1005","1687-9724","1687-9732","Applied Computational Intelligence and Soft Computing","Single blind"
"X.1006","1472-3646","1472-3654","Archaea","Single blind"
"X.1007","2090-1925","2090-1933","Autism Research and Treatment","Single blind"
"X.1008","2090-0422","2090-0430","Autoimmune Diseases","Single blind"
"X.1009","9534-180","1875-8584","Behavioural Neurology","Single blind"
"X.1010","2090-2247","2090-2255","Biochemistry Research International","Single blind"
"X.1011","1565-3633","1687-479X","Bioinorganic Chemistry and Applications","Single blind"
"X.1012","2314-6133","2314-6141","BioMed Research International","Single blind"
